no_event,Energy,PhotopeakCount,Efficiency,Error
100000,0.0001,0,0,N/A
100000,0.008717241379310344,0,0,N/A
100000,0.01733448275862069,0,0,N/A
100000,0.025951724137931034,0,0,N/A
100000,0.03456896551724138,0,0,N/A
100000,0.043186206896551727,0,0,N/A
100000,0.05180344827586207,16,0.007,0.00264575
100000,0.060420689655172416,49,0.049,0.007
100000,0.06903793103448276,238,0.238,0.0154272
100000,0.0776551724137931,558,0.558,0.023622
100000,0.08627241379310345,912,0.912,0.0301993
100000,0.0948896551724138,1323,1.323,0.0363731
100000,0.10350689655172414,1748,1.748,0.0418091
100000,0.11212413793103448,2031,2.031,0.0450666
100000,0.12074137931034483,2284,2.284,0.0477912
100000,0.12935862068965515,2377,2.377,0.0487545
100000,0.1379758620689655,2488,2.488,0.0498799
100000,0.14659310344827586,2525,2.525,0.0502494
100000,0.1552103448275862,2575,2.575,0.0507445
100000,0.16382758620689652,2701,2.701,0.0519711
100000,0.17244482758620688,2599,2.599,0.0509804
100000,0.18106206896551724,2589,2.589,0.0508822
100000,0.18967931034482757,2670,2.67,0.051672
100000,0.1982965517241379,2645,2.645,0.0514296
100000,0.20691379310344826,2575,2.575,0.0507445
100000,0.21553103448275862,2537,2.537,0.0503686
100000,0.22414827586206895,2543,2.543,0.0504282
100000,0.23276551724137928,2512,2.512,0.0501199
100000,0.24138275862068964,2426,2.426,0.0492544
100000,0.25,2311,2.311,0.0480729
100000,0.3,2132,2.132,0.0461736
100000,0.4,1910,1.91,0.0437035
100000,0.5,1636,1.636,0.0404475
100000,0.6,1515,1.515,0.038923
100000,0.7,1409,1.409,0.0375366
100000,0.8,1301,1.301,0.0360694
100000,0.9,1217,1.217,0.0348855
100000,1.0,1075,1.075,0.0327872
100000,1.1666666666666667,969,0.969,0.0311288
100000,1.3333333333333333,934,0.934,0.0305614
100000,1.5,936,0.936,0.0305941
100000,1.6666666666666665,834,0.834,0.0288791
100000,1.8333333333333333,809,0.809,0.0284429
100000,2.0,772,0.772,0.0277849
100000,2.1666666666666665,737,0.737,0.0271477
100000,2.333333333333333,698,0.698,0.0264197
100000,2.5,672,0.672,0.025923
100000,2.6666666666666665,641,0.641,0.025318
100000,2.833333333333333,638,0.638,0.0252587
100000,3.0,578,0.578,0.0240416
100000,3.1666666666666665,527,0.527,0.0229565
100000,3.333333333333333,515,0.515,0.0226936
100000,3.5,498,0.498,0.0223159
100000,3.6666666666666665,500,0.5,0.0223607
100000,3.833333333333333,485,0.485,0.0220227
100000,4.0,445,0.445,0.021095
100000,4.166666666666666,452,0.452,0.0212603
100000,4.333333333333333,418,0.418,0.020445
100000,4.5,474,0.474,0.0217715
100000,4.666666666666666,396,0.396,0.0198997
100000,4.833333333333333,358,0.358,0.0189209
100000,5.0,333,0.333,0.0182483
